time,trend,season,com3-6,com2
2021/1/6,37440.65784,-7696.284292,-173.161342,-36.212213
2021/1/7,37448.1387,-7877.917157,-208.022744,98.801206
2021/1/7,37455.34537,-7498.834692,-216.220344,21.709679
2021/1/7,37462.25337,-7750.390345,-204.009894,-20.85312
2021/1/7,37468.83151,-8261.073024,-181.389791,38.631304
2021/1/7,37475.04446,-8758.630707,-151.793277,19.379525
2021/1/7,37480.85093,-9048.098088,-125.185803,53.432954
2021/1/7,37486.20428,-9385.00078,-112.468415,76.264915
2021/1/7,37491.05253,-9794.934912,-115.317,78.199382
2021/1/7,37495.33843,-10025.82702,-118.608783,-7.902634
2021/1/7,37498.99869,-9957.096915,-103.356359,17.454588
2021/1/7,37501.96396,-9400.802913,-54.464607,-22.69644
2021/1/7,37504.16161,-8463.980672,27.028947,135.79011
2021/1/7,37505.51847,-6242.216941,134.442743,39.255723
2021/1/7,37505.96515,-4376.063027,259.221404,74.876469
2021/1/7,37505.44825,-1972.239284,380.578992,-0.787935
2021/1/7,37503.93837,-88.484642,477.32923,-94.782958
2021/1/7,37501.43812,1997.138581,533.455508,110.967783
2021/1/7,37497.98591,3106.697047,540.314313,39.002708
2021/1/7,37493.65159,3858.904973,494.113439,121.329985
2021/1/7,37488.53539,4168.833908,403.834721,89.795968
2021/1/7,37482.76804,4301.702131,281.6535,-36.123677
2021/1/7,37476.50196,4356.011639,140.138591,-105.652188
2021/1/7,37469.90646,4612.298741,-4.100715,181.895519
2021/1/7,37463.1621,4694.018451,-125.86266,49.682108
2021/1/7,37456.45522,4951.761632,-205.574755,30.357897
2021/1/7,37449.97021,4882.475244,-231.037928,17.592488
2021/1/7,37443.8795,4899.107746,-196.071479,-50.915771
2021/1/7,37438.3417,4637.575329,-114.910856,-55.006164
2021/1/7,37433.49798,4767.542683,-14.578242,191.537581
2021/1/7,37429.46762,4850.213242,75.855463,231.463693
2021/1/7,37426.34969,5309.407109,134.151488,-16.908288
2021/1/7,37424.21831,5942.249972,165.399578,-143.867858
2021/1/7,37423.10684,6685.513069,181.348686,151.031421
2021/1/7,37423.00732,8023.168951,193.056071,38.767649
2021/1/7,37423.87338,8652.033079,207.986369,149.107176
2021/1/7,37425.62167,8705.22116,219.925375,54.231791
2021/1/7,37428.12605,8242.356778,220.702675,-123.185501
2021/1/7,37431.22255,7676.377809,208.00181,17.397843
2021/1/7,37434.7128,6727.603092,180.969812,255.714296
2021/1/7,37438.37531,5201.833591,137.683925,37.107173
2021/1/7,37441.98149,3958.261247,71.942256,-132.184994
2021/1/7,37445.30742,2710.148901,-20.452477,65.996162
2021/1/7,37448.14268,997.763885,-131.018236,173.111679
2021/1/7,37450.29058,-623.61542,-247.154929,146.479764
2021/1/7,37451.57002,-2269.221722,-360.79214,130.44385
2021/1/7,37451.82178,-4054.247442,-476.252839,-113.321478
2021/1/7,37450.90962,-5901.061243,-597.469014,-54.379356
2021/1/7,37448.72439,-7028.837942,-715.744608,13.858138
2021/1/8,37445.19372,-7224.057839,-823.308039,120.172179
2021/1/8,37440.28356,-6827.406607,-917.19756,139.320585
2021/1/8,37433.99279,-7081.342992,-995.679527,235.029723
2021/1/8,37426.35096,-7620.036014,-1056.185996,296.871042
2021/1/8,37417.41313,-8151.474593,-1097.271288,281.332765
2021/1/8,37407.25633,-8417.93853,-1115.99673,285.678917
